,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
0,yol5kxjy,1,http://www.speedrun.com/sm64/run/yol5kxjy,2023-03-23T06:20:48Z,875.5,875.5,jn32931x,Suigi,Canada,N64,Yes
1,zng5delm,2,http://www.speedrun.com/sm64/run/zng5delm,2025-08-21T12:34:44Z,876.42,876.42,kjprmwk8,Weegee,United States,N64,Yes
2,zppddvxz,3,http://www.speedrun.com/sm64/run/zppddvxz,2023-11-25T16:02:09Z,881.21,881.21,1xypyovx,Slipperynip,United States,N64,Yes
3,yoeq9vjz,4,http://www.speedrun.com/sm64/run/yoeq9vjz,2025-08-05T04:05:22Z,889.85,889.85,48g979rx,GTM,Antarctica,N64,Yes
4,y60jnn0y,5,http://www.speedrun.com/sm64/run/y60jnn0y,2022-07-06T19:10:40Z,892.0,892.0,x353dr7j,Finnii602,Germany,VC,Yes
5,ywj1gg9z,6,http://www.speedrun.com/sm64/run/ywj1gg9z,2021-12-09T16:44:16Z,895.81,895.81,kj92gmv8,Dowsky,United States,N64,Yes
6,ydne25xm,7,http://www.speedrun.com/sm64/run/ydne25xm,2024-04-03T19:54:11Z,895.94,895.94,j2www16j,treybordo,United States,N64,Yes
7,m7w9p0ez,8,http://www.speedrun.com/sm64/run/m7w9p0ez,2021-12-06T01:20:55Z,896.22,896.22,7j40gpw8,KETSUMANKO,Japan,N64,Yes
8,mkv9n63y,9,http://www.speedrun.com/sm64/run/mkv9n63y,2022-12-16T23:55:34Z,896.33,896.33,8vkrw22j,Tag609,United States,N64,Yes
9,znx1l88y,10,http://www.speedrun.com/sm64/run/znx1l88y,2024-08-16T08:52:06Z,896.53,896.53,qxkqkmmx,xandrey,Costa Rica,N64,Yes
10,m7lq074y,11,http://www.speedrun.com/sm64/run/m7lq074y,2025-05-11T23:40:35Z,897.0,897.0,kj9z6pn8,Sunnard,France,EMU,Yes
11,y86rxp5m,12,http://www.speedrun.com/sm64/run/y86rxp5m,2023-05-29T17:17:59Z,897.46,897.46,e8evzg7x,gamiru,Japan,N64,Yes
12,yv8qgoom,13,http://www.speedrun.com/sm64/run/yv8qgoom,2023-01-23T23:25:36Z,898.0,898.0,jmolpwo8,Raisn,Germany,EMU,Yes
